county_fips_code,the_number_of_providers,the_average_supply_level,fips_code,county_name,social_vulnerability_index_svi,cvac_level_of_concern_for_vaccination_rollout,percent_adults_fully_vaccinated_against_covid_19_as_of_6_10_21,estimated_hesitant,estimated_hesitant_or_unsure,estimated_strongly_hesitant,masks_order_code,completeness_pct,metro_status,series_complete_pop_pct,series_complete_yes,series_complete_pop_pct_svi,series_complete_pop_pct_ur_equity,general_gb_order_code,general_gb_order_group,general_or_under_6ft_bans_gatherings_over,indoor_outdoor,stay_at_home_order_code,community_transmission_level,cases_per_100k_7_day_count_change,avg_asthma,avg_chd,avg_checkup,avg_copd,avg_smoking,avg_depression,avg_diabetes,avg_ghlth,avg_lpa,avg_mhlth,avg_obesity,avg_sleep
10001,195,0.33333333333333333333,10001,"Kent County, Delaware",0.73,0.32,0.435,0.0664,0.1391,0.0388,2,96.1,Metro,34.9,63156,10,2,1,No order found,No ban,NA,7,moderate,21.572,11.5093750000000000,6.4750000000000000,80.5937500000000000,8.8218750000000000,19.3218750000000000,20.5750000000000000,12.3781250000000000,20.3031250000000000,31.0531250000000000,16.3812500000000000,40.6968750000000000,38.5437500000000000
10003,638,0.19435736677115987461,10003,"New Castle County, Delaware",0.38,0.16,0.552,0.0564,0.118,0.0329,2,96.1,Metro,45.5,254077,7,3,1,No order found,No ban,NA,7,moderate,25.772,9.9232558139534884,5.5131782945736434,79.1984496124031008,7.0674418604651163,16.8186046511627907,20.2565891472868217,10.8193798449612403,18.2085271317829457,27.6953488372093023,14.4713178294573643,33.5519379844961240,36.6627906976744186
10005,295,0.19661016949152542373,10005,"Sussex County, Delaware",0.4,0.12,0.569,0.0555,0.1121,0.0328,2,96.1,Metro,47.6,111519,7,3,1,No order found,No ban,NA,7,moderate,39.705,9.2415094339622642,8.1905660377358491,81.1641509433962264,9.2150943396226415,16.6867924528301887,18.3245283018867925,12.6622641509433962,19.6000000000000000,27.2867924528301887,13.3037735849056604,34.9245283018867925,33.4264150943396226
11001,678,0.24483775811209439528,11001,"District of Columbia, District of Columbia",0.6,0.17,0.546,0.0655,0.085,0.0403,2,94.6,Metro,46.5,328124,11,3,1,No order found,No ban,NA,7,moderate,15.586,10.9831460674157303,4.5786516853932584,79.0949438202247191,4.9775280898876404,15.8000000000000000,20.5629213483146067,9.9382022471910112,16.4797752808988764,20.8938202247191011,13.5814606741573034,28.4101123595505618,37.9179775280898876
12001,345,0.38260869565217391304,12001,"Alachua County, Florida",0.47,0.63,0.547,0.1167,0.1711,0.0755,2,98.7,Metro,46.6,125395,7,3,1,No order found,No ban,NA,7,low,7.062,9.8446428571428571,5.1964285714285714,76.0553571428571429,7.0303571428571429,16.4178571428571429,21.0160714285714286,9.0071428571428571,17.7642857142857143,24.1607142857142857,17.6303571428571429,30.2232142857142857,35.6375000000000000
12003,40,0.05000000000000000000,12003,"Baker County, Florida",0.68,0.74,0.234,0.155,0.2116,0.1039,2,98.7,Metro,18.2,5309,9,1,1,No order found,No ban,NA,7,moderate,suppressed,9.4750000000000000,6.3750000000000000,74.9750000000000000,9.6250000000000000,24.7750000000000000,22.4500000000000000,10.9500000000000000,22.4000000000000000,32.4250000000000000,18.8250000000000000,32.6750000000000000,43.1750000000000000
12005,222,0.31531531531531531532,12005,"Bay County, Florida",0.61,0.67,0.373,0.1553,0.212,0.103,2,98.7,Metro,30.4,53031,10,2,1,No order found,No ban,NA,7,low,9.158,9.2302325581395349,6.8697674418604651,74.4837209302325581,9.4558139534883721,22.7581395348837209,21.9139534883720930,10.9302325581395349,21.1697674418604651,31.4534883720930233,17.9674418604651163,31.6651162790697674,39.3325581395348837
12007,30,0.23333333333333333333,12007,"Bradford County, Florida",0.93,0.95,0.276,0.1795,0.2473,0.1242,2,98.7,Non-metro,22.6,6381,13,5,1,No order found,No ban,NA,7,moderate,suppressed,10.0750000000000000,8.0500000000000000,76.1000000000000000,11.5250000000000000,27.6250000000000000,23.0500000000000000,13.3500000000000000,26.8000000000000000,35.9500000000000000,20.0500000000000000,38.3500000000000000,41.3500000000000000
12009,657,0.58143074581430745814,12009,"Brevard County, Florida",0.37,0.48,0.499,0.127,0.1744,0.0833,2,98.7,Metro,42.8,257484,7,3,1,No order found,No ban,NA,7,low,8.639,8.4720720720720721,7.8747747747747748,77.1657657657657658,9.6027027027027027,18.2711711711711712,20.3342342342342342,12.2864864864864865,20.6612612612612613,27.6306306306306306,15.1000000000000000,29.0612612612612613,39.2261261261261261
12011,2282,0.40008764241893076249,12011,"Broward County, Florida",0.58,0.71,0.523,0.1215,0.1741,0.0791,2,98.7,Metro,43.8,855589,11,3,1,No order found,No ban,NA,7,moderate,12.751,8.3916666666666667,6.2777777777777778,78.7927777777777778,7.7486111111111111,16.8966666666666667,17.9277777777777778,12.1275000000000000,21.5383333333333333,27.8427777777777778,15.6486111111111111,30.3972222222222222,40.5516666666666667
12013,5,-0.40000000000000000000,12013,"Calhoun County, Florida",0.84,0.98,0.266,0.1681,0.2345,0.1151,2,98.7,Non-metro,22,3102,13,5,1,No order found,No ban,NA,7,low,suppressed,9.3000000000000000,7.9666666666666667,72.6666666666666667,11.0000000000000000,24.6333333333333333,22.4333333333333333,11.5666666666666667,24.2666666666666667,32.9333333333333333,18.6333333333333333,35.9666666666666667,39.9666666666666667
12015,221,0.58371040723981900452,12015,"Charlotte County, Florida",0.49,0.52,0.545,0.1228,0.1658,0.0826,2,98.7,Metro,49.2,92889,7,3,1,No order found,No ban,NA,7,low,8.999,8.5894736842105263,10.3210526315789474,81.3526315789473684,11.8026315789473684,17.0789473684210526,18.1815789473684211,14.3684210526315789,22.7815789473684211,26.5078947368421053,13.6657894736842105,28.5473684210526316,35.8894736842105263
12017,173,0.35260115606936416185,12017,"Citrus County, Florida",0.6,0.65,0.469,0.136,0.1845,0.0909,2,98.7,Metro,40.9,61261,11,3,1,No order found,No ban,NA,7,moderate,10.023,9.0777777777777778,11.1481481481481481,80.1333333333333333,13.6407407407407407,21.5481481481481481,21.8111111111111111,16.2259259259259259,25.3962962962962963,31.6000000000000000,16.0925925925925926,31.9185185185185185,40.0185185185185185
12019,206,0.35436893203883495146,12019,"Clay County, Florida",0.38,0.49,0.354,0.1377,0.1903,0.0899,2,98.7,Metro,28.8,63053,5,1,1,No order found,No ban,NA,7,moderate,10.946,9.0300000000000000,6.6066666666666667,74.2033333333333333,9.0100000000000000,21.6600000000000000,20.9100000000000000,11.6733333333333333,20.2533333333333333,28.6666666666666667,17.1866666666666667,32.9100000000000000,40.7366666666666667
12021,460,0.51521739130434782609,12021,"Collier County, Florida",0.46,0.46,0.571,0.1071,0.1459,0.0706,2,98.7,Metro,49.5,190426,7,3,1,No order found,No ban,NA,7,moderate,16.368,7.9013698630136986,8.4890410958904110,78.5191780821917808,9.2561643835616438,15.7424657534246575,17.0027397260273973,12.1287671232876712,20.2369863013698630,24.7698630136986301,12.9602739726027397,24.6479452054794521,31.3835616438356164
12023,80,0.13750000000000000000,12023,"Columbia County, Florida",0.86,0.74,0.312,0.1795,0.2473,0.1242,2,98.7,Non-metro,25.1,17974,13,5,1,No order found,No ban,NA,7,low,suppressed,10.0500000000000000,7.7833333333333333,76.8666666666666667,11.2333333333333333,26.2416666666666667,23.5500000000000000,13.3666666666666667,23.7666666666666667,33.0000000000000000,18.5500000000000000,36.2833333333333333,41.4750000000000000
12027,37,0.27027027027027027027,12027,"DeSoto County, Florida",0.96,0.95,0.352,0.1434,0.2037,0.0968,2,98.7,Non-metro,29.4,11191,13,5,1,No order found,No ban,NA,7,moderate,suppressed,9.5444444444444444,9.5555555555555556,76.3222222222222222,12.7000000000000000,23.5777777777777778,19.3777777777777778,15.9222222222222222,30.0333333333333333,36.8777777777777778,18.5222222222222222,35.7555555555555556,38.0333333333333333
12029,10,0.80000000000000000000,12029,"Dixie County, Florida",0.9,0.94,0.253,0.1795,0.2473,0.1242,2,98.7,Non-metro,21,3540,13,5,1,No order found,No ban,NA,7,moderate,suppressed,10.0333333333333333,9.7000000000000000,74.9666666666666667,14.1666666666666667,27.7000000000000000,22.0333333333333333,14.8666666666666667,28.8333333333333333,35.9666666666666667,19.3666666666666667,36.7666666666666667,38.8000000000000000
12031,960,0.54375000000000000000,12031,"Duval County, Florida",0.69,0.71,0.457,0.1418,0.2044,0.0932,2,98.7,Metro,36.9,353874,10,2,1,No order found,No ban,NA,7,moderate,16.079,9.7421965317919075,6.2537572254335260,76.6728323699421965,8.6161849710982659,21.1341040462427746,20.5294797687861272,11.8080924855491329,22.2208092485549133,30.9919075144508671,17.9005780346820809,34.2473988439306358,40.6618497109826590
12033,311,0.38585209003215434084,12033,"Escambia County, Florida",0.49,0.59,0.41,0.1528,0.2151,0.1014,2,98.7,Metro,33.4,106424,6,2,1,No order found,No ban,NA,7,low,5.026,9.6788732394366197,6.7154929577464789,77.6056338028169014,8.9732394366197183,20.0633802816901408,21.0352112676056338,12.9098591549295775,22.2859154929577465,29.1338028169014085,17.1816901408450704,30.8309859154929577,41.0056338028169014
12035,133,0.78195488721804511278,12035,"Flagler County, Florida",0.28,0.67,0.519,0.1206,0.1651,0.0794,2,98.7,Metro,44.5,51189,7,3,1,No order found,No ban,NA,7,low,suppressed,8.5450000000000000,8.7800000000000000,79.7600000000000000,10.3250000000000000,19.8400000000000000,20.3350000000000000,13.3700000000000000,21.0050000000000000,26.7050000000000000,15.0100000000000000,32.8600000000000000,36.9950000000000000
12037,13,0.30769230769230769231,12037,"Franklin County, Florida",0.81,0.77,0.384,0.1681,0.2345,0.1151,2,98.7,Non-metro,32.8,3977,14,6,1,No order found,No ban,NA,7,low,0.000,9.2000000000000000,8.6750000000000000,75.8250000000000000,11.5750000000000000,24.8750000000000000,20.6000000000000000,12.9500000000000000,24.8000000000000000,33.1750000000000000,17.8250000000000000,31.6500000000000000,38.5500000000000000
12039,43,0.16279069767441860465,12039,"Gadsden County, Florida",0.99,0.97,0.458,0.1681,0.2345,0.1151,2,98.7,Metro,36.8,16782,14,2,1,No order found,No ban,NA,7,moderate,suppressed,10.6666666666666667,7.6000000000000000,79.8222222222222222,10.4555555555555556,22.8666666666666667,19.4111111111111111,16.5777777777777778,28.2111111111111111,35.6555555555555556,18.6777777777777778,39.8222222222222222,42.6111111111111111
12041,17,0.64705882352941176471,12041,"Gilchrist County, Florida",0.76,0.9,0.266,0.1795,0.2473,0.1242,2,98.7,Metro,21.9,4062,13,1,1,No order found,No ban,NA,7,moderate,suppressed,9.5400000000000000,8.4000000000000000,72.0800000000000000,11.8800000000000000,23.7200000000000000,22.6800000000000000,12.1400000000000000,24.9800000000000000,31.4200000000000000,18.8400000000000000,32.7600000000000000,37.2800000000000000
12045,23,-0.13043478260869565217,12045,"Gulf County, Florida",0.59,0.7,0.388,0.1681,0.2345,0.1151,2,98.7,Metro,32,4364,10,2,1,No order found,No ban,NA,7,substantial,0.000,9.1000000000000000,7.7333333333333333,77.1666666666666667,9.9000000000000000,22.3666666666666667,20.5333333333333333,12.2000000000000000,22.9333333333333333,31.7000000000000000,16.7333333333333333,29.0000000000000000,39.9666666666666667
12047,8,0.50000000000000000000,12047,"Hamilton County, Florida",0.99,0.99,0.287,0.1725,0.2418,0.1175,2,98.7,Non-metro,23.7,3419,13,5,1,No order found,No ban,NA,7,low,0.000,10.2666666666666667,8.9333333333333333,77.2000000000000000,12.3333333333333333,26.7333333333333333,19.7666666666666667,15.0333333333333333,29.9333333333333333,36.9333333333333333,19.8666666666666667,37.0333333333333333,39.5666666666666667
