completeness_pct,metro_status,series_complete_pop_pct,series_complete_yes,series_complete_pop_pct_svi,series_complete_pop_pct_ur_equity,masks_order_code,fips_code,county_name,svi_category,social_vulnerability_index_svi,cvac_level_of_concern,percent_adults_fully_vaccinated_against_covid_19_as_of_6_10_21,percent_hispanic,percent_non_hispanic_american_indian_alaska_native,percent_non_hispanic_asian,percent_non_hispanic_black,percent_non_hspanic_native_hawaiian_or_pasific_islander,percent_non_hispanic_white
0,Non-metro,,,,,1,15007,"Kauai County, Hawaii",Low Vulnerability,0.31,Very Low Concern,,0.1105,0.0036,0.3107,0.004,0.0804,0.2952
96.4,Non-metro,27.2,2958,5,5,2,37029,"Camden County, North Carolina",Low Vulnerability,0.31,Low Concern,0.338,0.0292,0,0.0179,0.1384,0.0012,0.8046
91.7,Non-metro,19,4702,13,5,2,1005,"Barbour County, Alabama",Very High Vulnerability,1,Very High Concern,0.257,0.0436,0.0029,0.0048,0.4744,0,0.4581
94.2,Non-metro,41.7,12539,7,7,1,21021,"Boyle County, Kentucky",Moderate Vulnerability,0.43,Very Low Concern,0.516,0.0332,0.003,0.0084,0.0792,0,0.854
95.3,Non-metro,24.5,7715,1,5,2,38089,"Stark County, North Dakota",Low Vulnerability,0.21,Very Low Concern,0.332,0.0544,0.0119,0.0125,0.0196,0.0033,0.8734
97.8,Non-metro,25.7,7073,9,5,2,16039,"Elmore County, Idaho",Moderate Vulnerability,0.59,Moderate Concern,0.34,0.1707,0.0136,0.026,0.026,0.0036,0.7264
51.3,Non-metro,4.6,319,13,5,2,13283,"Treutlen County, Georgia",Very High Vulnerability,0.95,Very High Concern,0.059,0.0132,0,0,0.2637,0,0.7205
97.7,Metro,36.7,19634,6,2,1,17007,"Boone County, Illinois",Moderate Vulnerability,0.47,Low Concern,0.455,0.218,0.003,0.0118,0.0209,0,0.73
95.3,Non-metro,13.8,313,1,5,2,38037,"Grant County, North Dakota",Very Low Vulnerability,0.07,Very Low Concern,0.168,0.0106,0.0076,0.0119,0.0008,0.0004,0.9562
95.3,Non-metro,25.7,2714,5,5,2,38061,"Mountrail County, North Dakota",Low Vulnerability,0.38,Low Concern,0.351,0.0812,0.2714,0.0047,0.0141,0,0.6064
0,Non-metro,0,0,,,2,48363,"Palo Pinto County, Texas",Very High Vulnerability,0.88,Very High Concern,,0.1988,0.0056,0.0079,0.0251,0.001,0.7505
0,Non-metro,0,0,,,2,48153,"Floyd County, Texas",Very High Vulnerability,0.83,Very High Concern,,0.5868,0.0005,0.0017,0.0288,0,0.3681
0,Non-metro,0,0,,,2,48437,"Swisher County, Texas",Very High Vulnerability,0.97,Very High Concern,,0.4403,0.0061,0.0016,0.0589,0.0007,0.4618
0,Non-metro,0,0,,,2,48301,"Loving County, Texas",High Vulnerability,0.76,Very High Concern,,0.1224,0.0306,0,0,0,0.8469
0,Non-metro,0,0,,,2,48081,"Coke County, Texas",High Vulnerability,0.62,Very High Concern,,0.2153,0.0067,0,0.0097,0,0.762
0,Non-metro,0,0,,,2,48477,"Washington County, Texas",High Vulnerability,0.73,Very High Concern,,0.1606,0.0025,0.0166,0.1639,0.0011,0.6401
0,Non-metro,0,0,,,2,48475,"Ward County, Texas",High Vulnerability,0.65,Very High Concern,,0.5366,0.0043,0.0095,0.0402,0,0.4
98.6,Non-metro,21.5,7869,9,5,2,39031,"Coshocton County, Ohio",High Vulnerability,0.62,Moderate Concern,0.353,0.0106,0.0023,0.0029,0.0115,0,0.9587
95.1,Metro,36,145979,10,2,1,26049,"Genesee County, Michigan",High Vulnerability,0.66,Moderate Concern,0.451,0.0344,0.0032,0.0103,0.1954,0.0001,0.7244
51.1,Non-metro,25.6,5387,13,5,2,51027,"Buchanan County, Virginia",High Vulnerability,0.75,Moderate Concern,0.305,0.0049,0.0018,0.0103,0.027,0,0.9485
97.8,Non-metro,25.4,1816,1,5,2,16029,"Caribou County, Idaho",Very Low Vulnerability,0.19,Low Concern,0.355,0.0582,0.0006,0.0006,0,0,0.9172
97.7,Metro,35,5749,6,2,1,17005,"Bond County, Illinois",Low Vulnerability,0.37,Moderate Concern,0.42,0.0352,0.0046,0.0036,0.0754,0,0.878
0,Non-metro,0,0,,,2,48349,"Navarro County, Texas",Very High Vulnerability,0.97,Very High Concern,,0.2726,0.0025,0.0068,0.122,0.0134,0.5605
0,Non-metro,0,0,,,2,48223,"Hopkins County, Texas",High Vulnerability,0.71,High Concern,,0.1687,0.0027,0.0067,0.07,0.0012,0.7328
98.3,Non-metro,29.2,12838,13,5,2,28151,"Washington County, Mississippi",Very High Vulnerability,0.98,Very High Concern,0.35,0.0162,0.001,0.0056,0.72,0,0.2514
96.1,Metro,27.3,3741,9,1,1,53051,"Pend Oreille County, Washington",Moderate Vulnerability,0.54,Moderate Concern,0.33,0.0385,0.0389,0.0097,0.0037,0,0.8845
93.3,Non-metro,35.7,982,2,6,2,20135,"Ness County, Kansas",Very Low Vulnerability,0.15,Moderate Concern,0.447,0.1022,0.0031,0.0035,0.0052,0,0.8734
93.8,Metro,37.5,41068,10,2,1,42085,"Mercer County, Pennsylvania",Moderate Vulnerability,0.54,Very Low Concern,0.454,0.015,0.001,0.0072,0.0561,0,0.9018
94.2,Metro,41.7,3635,7,3,1,21091,"Hancock County, Kentucky",Low Vulnerability,0.38,Very Low Concern,0.542,0.0154,0.0009,0.0057,0.0089,0,0.9549
95.1,Non-metro,32,19495,10,6,1,26149,"St. Joseph County, Michigan",High Vulnerability,0.65,Moderate Concern,0.411,0.0793,0.0007,0.005,0.0221,0.0006,0.865
91.7,Metro,24.2,25609,9,1,2,1069,"Houston County, Alabama",High Vulnerability,0.68,Moderate Concern,0.325,0.0332,0.0025,0.0087,0.2676,0.0004,0.6646
97.5,Metro,32.9,77291,10,2,2,4025,"Yavapai County, Arizona",Moderate Vulnerability,0.52,High Concern,0.372,0.1454,0.0127,0.0092,0.0062,0.0006,0.8046
97.7,Non-metro,28,1071,9,5,1,17069,"Hardin County, Illinois",Moderate Vulnerability,0.5,Moderate Concern,0.33,0.0094,0.0018,0.001,0.0272,0,0.9462
88.8,Non-metro,33.8,5902,14,6,2,5001,"Arkansas County, Arkansas",High Vulnerability,0.78,High Concern,0.434,0.0319,0.0017,0.0004,0.2588,0,0.6976
97.8,Non-metro,23,8552,13,5,2,47045,"Dyer County, Tennessee",High Vulnerability,0.76,High Concern,0.291,0.034,0.0049,0.0078,0.1264,0.0015,0.8
97.7,Metro,19.2,1105,13,1,1,17003,"Alexander County, Illinois",Very High Vulnerability,0.96,Moderate Concern,0.241,0.0131,0.0059,0,0.3345,0,0.6276
91.7,Non-metro,20.4,10660,9,5,2,1031,"Coffee County, Alabama",Moderate Vulnerability,0.54,Moderate Concern,0.271,0.0728,0.0116,0.0144,0.168,0,0.7015
95.3,Non-metro,31,1783,2,6,2,38049,"McHenry County, North Dakota",Very Low Vulnerability,0.03,Very Low Concern,0.401,0.0216,0.0111,0.0039,0.0036,0,0.9524
94.2,Non-metro,32.1,4752,14,6,1,21119,"Knott County, Kentucky",Very High Vulnerability,0.85,Moderate Concern,0.39,0.0098,0.0013,0.0021,0.0052,0.0009,0.9685
51.3,Metro,7.8,2550,5,1,2,13227,"Pickens County, Georgia",Low Vulnerability,0.28,Low Concern,0.096,0.0309,0.0092,0.0043,0.0103,0.0005,0.8662
95.1,Non-metro,54.9,3139,8,8,1,26131,"Ontonagon County, Michigan",Low Vulnerability,0.27,Moderate Concern,0.626,0.0151,0.0077,0.0043,0.0049,0.001,0.9491
97.7,Non-metro,28.7,4163,5,5,1,17139,"Moultrie County, Illinois",Low Vulnerability,0.29,Moderate Concern,0.375,0.0145,0.004,0.0016,0.0076,0,0.9661
97.2,Metro,33.2,253387,14,2,1,6077,"San Joaquin County, California",Very High Vulnerability,0.89,High Concern,0.433,0.414,0.0023,0.152,0.0674,0.0055,0.3185
