county_fips_code,the_number_of_providers,the_average_supply_level,social_vulnerability_index_svi,cvac_level_of_concern_for_vaccination_rollout,percent_adults_fully_vaccinated_against_covid_19_as_of_6_10_21,estimated_hesitant,estimated_hesitant_or_unsure,estimated_strongly_hesitant,masks_order_code,completeness_pct,metro_status,series_complete_pop_pct,series_complete_yes,series_complete_pop_pct_svi,series_complete_pop_pct_ur_equity,general_gb_order_code,general_gb_order_group,general_or_under_6ft_bans_gatherings_over,stay_at_home_order_code,community_transmission_level,avg_asthma,avg_chd,avg_checkup,avg_copd,avg_smoking,avg_depression,avg_diabetes,avg_ghlth,avg_lpa,avg_mhlth,avg_obesity,avg_sleep
0,195,0.3333333333333333,0.73,0.32,0.435,73,185,0.0388,2,96.1,0,34.9,63156.0,10.0,2.0,0,4,7,2,2,11.509375,6.475,80.59375,8.821875,19.321875,20.575,12.378125,20.303125,31.053125,16.38125,40.696875,38.54375
1,638,0.19435736677115986,0.38,0.16,0.552,35,87,0.0329,2,96.1,0,45.5,254077.0,7.0,3.0,0,4,7,2,2,9.923255813953489,5.513178294573644,79.1984496124031,7.067441860465117,16.81860465116279,20.25658914728682,10.81937984496124,18.208527131782947,27.695348837209302,14.471317829457364,33.55193798449612,36.66279069767442
2,295,0.19661016949152543,0.4,0.12,0.569,32,66,0.0328,2,96.1,0,47.6,111519.0,7.0,3.0,0,4,7,2,2,9.241509433962264,8.190566037735849,81.16415094339622,9.215094339622642,16.68679245283019,18.324528301886794,12.662264150943397,19.6,27.286792452830188,13.30377358490566,34.924528301886795,33.426415094339625
3,678,0.2448377581120944,0.6,0.17,0.546,69,18,0.0403,2,94.6,0,46.5,328124.0,11.0,3.0,0,4,7,2,2,10.98314606741573,4.578651685393258,79.09494382022471,4.977528089887641,15.8,20.562921348314607,9.938202247191011,16.479775280898878,20.8938202247191,13.581460674157304,28.410112359550563,37.917977528089885
4,345,0.3826086956521739,0.47,0.63,0.547,312,330,0.0755,2,98.7,0,46.6,125395.0,7.0,3.0,0,4,7,2,1,9.844642857142857,5.196428571428571,76.05535714285715,7.0303571428571425,16.417857142857144,21.01607142857143,9.007142857142856,17.764285714285716,24.160714285714285,17.630357142857143,30.223214285714285,35.6375
5,40,0.05,0.68,0.74,0.234,544,550,0.1039,2,98.7,0,18.2,5309.0,9.0,1.0,0,4,7,2,2,9.475,6.375,74.975,9.625,24.775,22.45,10.95,22.4,32.425,18.825,32.675,43.175
6,222,0.3153153153153153,0.61,0.67,0.373,546,552,0.103,2,98.7,0,30.4,53031.0,10.0,2.0,0,4,7,2,1,9.230232558139535,6.869767441860465,74.48372093023256,9.455813953488372,22.75813953488372,21.913953488372094,10.930232558139535,21.169767441860465,31.453488372093023,17.967441860465115,31.665116279069768,39.33255813953488
7,30,0.23333333333333334,0.93,0.95,0.276,629,671,0.1242,2,98.7,1,22.6,6381.0,13.0,5.0,0,4,7,2,2,10.075,8.05,76.1,11.525,27.625,23.05,13.35,26.8,35.95,20.05,38.35,41.35
8,657,0.5814307458143074,0.37,0.48,0.499,379,349,0.0833,2,98.7,0,42.8,257484.0,7.0,3.0,0,4,7,2,1,8.472072072072072,7.8747747747747745,77.16576576576577,9.602702702702702,18.271171171171172,20.334234234234234,12.286486486486487,20.661261261261263,27.63063063063063,15.1,29.06126126126126,39.226126126126125
9,2282,0.40008764241893074,0.58,0.71,0.523,341,347,0.0791,2,98.7,0,43.8,855589.0,11.0,3.0,0,4,7,2,2,8.391666666666667,6.277777777777778,78.79277777777777,7.748611111111111,16.89666666666667,17.927777777777777,12.1275,21.538333333333334,27.842777777777776,15.64861111111111,30.397222222222222,40.55166666666667
